"Pulse Width" "FSC" "SSC" "FITC "PE" "PE-Cy5"  "PE-Cy7"  "APC"  "APC-Cy7"  "Raw Time"
2095	1796	748	1312	840	1253	861	2186	2023	0
2319	2610	1939	1331	756	1859	1580	2923	2572	0
1967	2307	487	1094	591	1698	1238	2869	2393	0
1983	2286	762	1078	388	243	0	727	118	0
1759	1228	331	1258	536	3	30	334	77	0
1951	1683	2828	1400	873	1872	1313	3051	2698	0
2095	2091	3769	1725	1104	1131	865	1467	1078	0
1903	1963	2608	1382	890	1822	1552	3065	2697	0
1951	1541	1520	1203	412	1806	1350	2829	2388	0
1983	1546	3073	1310	750	1865	1453	2974	2589	0
1951	1433	2228	1104	750	2073	1633	3137	2759	0
1919	2061	1032	1492	660	1860	1392	3087	2728	0
2031	1903	2518	1328	802	1757	1233	2835	2384	0
2047	2454	916	1549	837	1831	1360	2943	2555	0
559	66	19	612	209	485	465	1673	1387	0
1423	201	317	1087	219	290	560	428	111	0
1951	2071	1973	1445	845	1828	1225	3046	2685	0
1711	811	685	3215	2393	2543	2325	521	0	0
1583	570	2802	2408	1957	1979	2075	921	1643	0
1919	1953	2115	1094	632	1696	1432	2903	2534	0
2015	1933	1060	1574	611	1646	1337	2697	2349	0
1871	1770	2471	1227	1009	1995	1604	3230	2773	0
1919	2199	484	1306	799	939	873	2088	1731	0
1967	1494	2666	1344	918	1867	1415	2980	2633	0
1871	2010	1788	1439	793	1824	1521	3034	2684	0
2975	2383	3614	1709	1223	2075	1748	3126	2701	0
1919	1990	2132	1164	1038	1769	985	2963	2582	0
1887	1624	393	1046	681	403	37	191	321	0
1935	1809	1446	1274	770	1688	1032	2800	2489	0
2367	3770	1880	1622	790	1998	1679	3197	2814	0
1999	1908	1303	1056	464	1698	1015	2788	2418	0
1919	1759	1846	1143	584	2021	1228	3210	2905	0
1919	1710	1646	1709	3086	2120	1632	747	968	0
2319	3256	4095	1766	975	2281	1753	3482	3090	0
1871	1329	315	1087	247	389	423	478	263	0
1327	129	262	1156	261	143	345	575	642	0
1903	1530	1686	1214	775	1820	1594	2863	2493	0
2479	3500	2234	1970	1545	2005	1859	2974	2514	0
479	87	58	680	39	442	329	1433	1018	0
1919	1854	1518	1167	654	1833	1681	3048	2730	0
2751	4095	2758	1649	1113	1718	1266	2790	2476	0
527	74	77	536	415	280	374	1087	816	0
1951	2174	1916	1338	471	1271	760	2340	1940	0
2399	3955	3597	2161	1400	777	696	826	794	0
1951	2249	657	1113	478	102	636	354	762	0
2255	2539	862	1134	658	427	824	629	46	0
1903	2028	2084	1315	849	1793	1332	3080	2636	0
1839	1253	176	652	264	266	715	57	559	0
2463	3491	1954	1689	1167	1680	1404	2783	2417	0
479	94	52	521	529	236	410	1309	1014	0
1919	1681	624	1076	255	455	472	550	240	0
1807	1651	351	1273	276	350	245	414	0	0
2015	2101	2275	1142	795	1776	1563	2876	2569	0
1951	1477	1356	1359	924	1300	1309	2316	1928	0
1423	241	178	1059	556	147	388	165	575	0
1839	1780	730	1004	366	236	227	320	615	0
1903	1844	1749	1312	767	2002	1702	3212	2809	0
1855	1563	369	1096	358	266	53	200	430	0
1983	1935	1017	1508	994	1622	1265	2645	2239	0
2335	3106	2275	1781	1060	2136	1779	3300	2922	0
1759	891	2013	2407	1957	2212	2264	2728	2401	0
2415	3778	2509	1719	1193	1688	1418	2845	2545	0
1775	1139	2190	2447	1693	1361	1334	434	385	0
1807	1588	294	753	372	388	49	160	969	0
1935	2118	2415	1368	876	1829	1539	3081	2678	0
1935	2523	675	1309	774	1787	1467	3019	2640	0
1999	1916	1054	1185	576	1714	1127	2719	2334	0
1983	1422	4095	4095	4095	4095	4087	3013	3360	0
1967	1822	1655	1382	711	1872	1543	3053	2628	0
1903	1447	840	1102	390	1715	1330	2763	2262	1
1823	1527	363	849	289	218	680	540	471	1
1967	2291	3600	1864	1330	2337	1966	3556	3185	1
2031	2810	1411	1631	840	576	134	1645	1421	1
1711	788	278	1193	650	380	695	512	750	1
1951	1536	1367	1330	798	1516	817	2493	2130	1
2495	3499	1964	1771	1219	1960	1540	2989	2607	1
527	85	55	595	241	453	414	1439	991	1
2111	2708	792	1362	780	1950	1603	3084	2645	1
1871	1584	359	816	425	509	536	517	506	1
1855	1700	1993	1185	804	1520	803	2776	2379	1
1951	1732	3140	1620	931	2118	1635	3294	2894	1
1919	2000	804	1346	493	1244	937	2310	2053	1
1951	2277	3419	1525	925	1976	1533	3185	2820	1
2191	2995	2269	1785	1144	1924	1625	2947	2472	1
1919	2189	1846	1543	1002	1845	1351	3049	2673	1
1999	1979	1383	1603	934	1609	1394	2658	2255	1
1183	150	323	2496	1654	1543	1354	94	594	1
879	70	276	909	682	1340	1200	2244	1942	1
1983	1833	1588	1045	479	1740	1451	2855	2481	1
1471	361	127	1124	518	361	420	379	365	1
1887	1423	734	1611	921	1893	1553	2980	2610	1
1871	1613	267	534	522	49	697	349	329	1
1951	1626	2797	1305	620	1970	1602	3041	2759	1
1951	1707	2965	1073	760	1955	1555	3171	2753	1
2431	3255	2718	1638	954	1823	1532	2820	2404	1
431	89	80	620	577	379	232	1581	1119	1
2015	1916	2612	1829	1078	1013	1205	1922	1648	1
1983	2067	2651	1345	658	1985	1643	3189	2892	1
2095	2280	2041	1683	933	797	504	1622	939	1
1903	2185	617	1112	575	1552	1419	2775	2324	1
1967	2051	2213	1342	766	1762	1293	2861	2427	1
1935	1892	452	1190	627	1604	1333	2601	2144	1
1823	1682	767	1562	720	301	0	368	238	1
1919	1443	1897	1057	526	2013	1719	3013	2550	1
1919	2006	2518	1257	637	1767	1249	2994	2547	1
1647	751	190	1329	604	291	731	551	450	1
2095	2468	1300	1749	1241	1878	1763	3051	2696	1
2079	2733	1339	1433	722	1148	839	2239	1835	1
1871	1740	524	1277	406	483	402	1048	921	1
1903	2122	2080	1276	711	1776	862	2956	2612	1
